,AMERICAS,CNFRBAL$_Index#@#PX_LAST,CHOVCHOV_Index#@#PX_LAST,JNTBEXPY_Index#@#PX_LAST,NDUEEGFL_Index#@#PX_LAST,MXPSTMOM_Index#@#PX_LAST,CICRTOT_Index#@#PX_LAST,IPMGCHNG_Index#@#PX_LAST,CFNAI_Index#@#PX_LAST,TMNOCHNG_Index#@#PX_LAST,JNHSYOY_Index#@#PX_LAST,JNNETYOY_Index#@#PX_LAST,JNMOYOY_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,PRCPMOM_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,CHN_Curncy#@#PX_LAST,CGNOXAI%_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,BRL_Curncy#@#PX_LAST,UYU_Curncy#@#PX_LAST
58,-0.14413775432524656,59.653999999999996,3.0,0.5,322.35,1.13,26.840999999999998,-0.4,-0.4,-1.7,2.622,-0.1,-1.7,0.25,0.03,-3.0,0.2,15.91,0.3,4.0,3.9471,29.096999999999998
59,-0.12941043752928727,59.388999999999996,3.5,-8.0,313.658,0.83,21.929000000000002,-0.2,-0.41,-1.7,-1.262,-1.1,-3.6,0.5,0.45,3.1,0.1,15.52,-3.4,15.0,3.964,29.873
60,-0.12805382506852736,27.104,3.5,-6.8,373.705,-0.19,24.500999999999998,-0.2,-0.44,1.0,8.381,-1.0,3.2,0.5,0.6,-3.2,0.1,14.74,0.0,145.0,3.5928,31.76
61,0.2905530533391254,47.211999999999996,3.5,-7.4,393.54900000000004,-0.1,14.857000000000001,0.3,0.1,-2.1,-2.5,-1.3,-0.9,0.5,0.14,3.0,0.2,14.46,0.5,316.0,3.2126,30.5
62,0.04677797953850926,40.942,3.5,-6.9,414.689,0.3,18.027,0.3,-0.11,-0.1,10.0,-1.7,4.3,0.5,0.21,3.7,0.1,16.44,-2.4,106.0,3.2613,28.365
63,0.10527518277822924,40.708,3.5,5.4,411.02099999999996,-0.62,11.335999999999999,0.3,0.52,2.4,3.9,0.7,6.7,0.75,0.33,10.8,0.2,15.05,-0.2,62.0,3.25,29.261
64,-0.03675631809029456,22.706999999999997,3.0,11.9,460.6,0.46,12.499,-0.5,0.04,1.2,0.18899999999999997,2.1,-0.7,1.0,1.3,13.8,-0.1,16.6166,0.8,68.0,3.1224,28.52
65,0.04059896992433387,41.218,2.5,9.7,452.60400000000004,-0.05,11.079,0.1,0.12,3.6,1.749,2.2,-5.2,1.25,-0.16,9.7,0.1,18.68,-0.7,51.0,3.3072,28.525
66,0.05097613882863339,27.375999999999998,2.5,14.1,520.821,-1.17,8.191,-0.1,0.18,2.9,-2.9130000000000003,2.3,-3.5,1.25,-0.02,0.4,0.1,20.35,5.7,151.0,3.1623,28.99
67,0.020839692437390145,53.85,2.5,9.4,508.61300000000006,0.96,13.149000000000001,0.0,0.18,1.8,-2.1109999999999998,3.6,-5.0,1.5,0.16,-1.0,0.2,21.65,2.8,140.0,3.3085,28.7
