,SPTR_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,SPX_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,M2USSNQ_Index#@#PX_LAST
92,2385.72,3718.09,1162.38,211.554,947.29,92.82,159.10399999999996,1388.85,1526.75,506.288,1569.58
93,2423.67,3832.13,1168.91,212.077,988.83,93.11,165.31099999999995,1383.69,1549.38,523.519,1605.83
94,2322.34,3675.49,1180.19,212.66,956.15,93.21,158.002,1357.17,1481.14,504.234,1559.02
95,2306.23,3628.07,1182.94,213.168,986.14,93.63,156.253,1348.26,1468.36,502.411,1561.7
96,2167.9,3350.82,1204.8,213.771,871.88,93.84,143.455,1289.65,1378.55,463.235,1449.92
97,2097.48,3331.42,1213.87,213.939,868.38,94.69,143.861,1258.86,1330.63,454.034,1416.79
98,2088.42,3299.49,1207.29,214.42,864.89,95.68,141.75,1283.15,1322.7,451.27,1420.1
99,2190.13,3472.91,1205.82,214.56,937.48,95.83,149.658,1318.2,1385.59,474.962,1472.48
100,2218.5,3525.86,1205.79,214.936,975.26,96.18,151.997,1323.68,1400.38,492.371,1517.85
101,2031.47,3244.65,1206.05,215.424,962.19,96.92,139.516,1219.02,1280.0,456.909,1418.92
102,2014.39,3165.37,1206.87,215.965,874.07,97.46,135.893,1231.88,1267.38,448.222,1388.6
103,2043.53,3120.9,1213.78,216.393,867.46,98.03,132.964,1256.29,1282.83,453.048,1416.79
104,1861.44,2749.71,1167.71,216.713,732.94,98.59,116.346,1171.85,1166.36,400.583,1316.62
105,1548.81,2228.36,1151.34,216.788,627.13,99.2,93.2919,1001.61,968.75,330.057,1108.95
106,1437.68,2084.12,1165.27,216.947,574.41,99.5,87.1631,980.65,896.24,303.808,1063.71
107,1452.98,2150.99,1186.53,216.925,582.95,99.86,90.3221,992.17,903.25,309.298,1073.73
108,1330.51,1962.55,1208.32,217.346,529.92,99.97,82.6055,911.76,825.88,294.42,998.35
109,1188.84,1761.67,1198.53,217.792,477.4,99.89,74.5167,818.3,735.09,272.271,902.19
110,1292.98,1894.51,1201.93,218.253,507.63,100.25,80.6549,878.11,797.87,296.556,980.2
111,1416.73,2107.04,1228.99,218.706,536.96,100.27,90.1755,940.58,872.81,325.028,1046.91
112,1495.97,2297.95,1253.89,218.904,560.71,100.23,99.1607,986.37,919.14,341.14,1102.84
113,1498.94,2287.58,1267.85,219.112,574.0,99.89,98.6054,991.07,919.32,344.956,1115.97
114,1612.31,2481.33,1284.43,219.263,611.65,100.07,107.285,1057.63,987.48,369.457,1183.79
115,1670.52,2583.7,1297.35,219.496,619.28,99.87,111.122,1082.98,1020.63,377.12,1215.31
116,1732.86,2686.68,1306.95,219.92,642.98,99.78,116.22,1118.23,1057.08,393.16,1254.95
117,1700.67,2638.88,1315.09,220.501,623.95,99.9,114.424,1112.87,1036.19,387.835,1245.57
118,1802.68,2746.71,1326.46,220.666,666.46,99.79,119.13,1176.91,1095.63,411.661,1317.4
119,1837.5,2796.03,1324.05,220.881,685.78,100.1,121.597,1186.56,1115.1,424.385,1341.52
120,1771.4,2680.47,1336.1,220.633,641.74,100.4,116.342,1159.94,1073.87,405.866,1294.28
121,1826.27,2718.26,1339.84,220.731,672.62,100.73,117.824,1188.92,1104.49,419.814,1318.53
122,1936.48,2886.6,1343.52,220.783,722.15,101.01,125.404,1241.78,1169.43,444.098,1392.23
123,1967.05,2887.01,1349.31,220.822,726.25,101.03,125.615,1269.5,1186.69,449.06,1413.74
124,1809.98,2610.47,1345.28,220.962,676.78,101.27,113.706,1178.3,1089.41,414.778,1299.9
125,1715.23,2520.96,1352.59,221.194,639.79,101.53,110.203,1127.4,1030.71,391.9380000000001,1255.14
126,1835.4,2725.34,1364.91,221.363,689.03,101.9,119.17,1199.3,1101.6,419.896,1331.91
127,1752.55,2623.59,1370.17,221.509,659.29,102.17,115.004,1158.37,1049.33,400.291,1288.02
128,1908.95,2868.23,1377.28,221.711,727.57,102.14,126.006,1254.63,1141.2,442.902,1403.91
129,1981.58,2975.15,1383.05,221.83,763.37,101.99,130.56,1289.73,1183.26,464.055,1460.46
130,1981.84,2910.92,1379.56,222.149,778.03,102.0,127.655,1294.41,1180.55,469.444,1460.2
131,2114.29,3124.94,1379.05,222.343,810.66,102.18,137.003,1363.02,1257.64,495.302,1531.99
132,2164.4,3195.54,1384.16,222.803,815.25,102.58,139.15200000000002,1381.88,1286.12,507.907,1555.92
133,2238.55,3307.42,1386.65,223.213,848.12,102.97,143.205,1430.38,1327.22,524.529,1605.9
134,2239.44,3274.81,1387.0,223.454,865.63,103.7,143.062,1445.75,1325.83,525.17,1613.43
135,2305.76,3413.93,1396.44,223.727,899.32,104.4,148.915,1496.21,1363.61,542.757,1674.73
136,2279.66,3343.11,1402.07,224.175,894.85,104.38,145.714,1477.69,1345.2,536.8480000000002,1661.01
137,2241.66,3290.22,1401.75,224.697,888.86,104.48,143.418,1466.87,1320.64,529.148,1658.37
138,2196.08,3230.56,1407.55,225.218,872.31,105.31,141.083,1416.55,1292.28,523.844,1645.14
139,2076.78,3002.94,1403.9,225.862,822.72,105.59,130.77700000000002,1370.2,1218.89,496.199,1582.84
140,1930.79,2743.58,1398.19,226.118,781.65,105.94,118.43,1283.9,1131.42,459.637,1487.07
141,2141.81,3027.36,1406.48,226.506,846.04,106.28,131.12,1409.19,1253.3,510.077,1628.57
142,2137.08,2953.45,1400.12,226.899,849.52,106.74,127.194,1436.33,1246.96,510.028,1634.52
143,2158.94,2951.81,1403.21,227.405,860.0,107.03,126.937,1449.19,1257.61,508.388,1646.63
144,2255.69,3099.94,1416.86,227.877,876.69,106.92,134.31799999999998,1486.56,1312.41,538.734,1724.81
145,2353.23,3251.37,1422.68,228.034,921.29,107.26,141.076,1527.89,1365.68,564.499,1800.59
146,2430.68,3293.17,1425.29,228.478,961.2,108.09,142.013,1560.76,1408.47,583.066,1850.85
147,2415.42,3255.77,1427.94,228.905,978.52,108.66,140.389,1555.89,1397.91,582.1659999999998,1861.04
148,2270.25,2974.72,1425.57,229.224,932.92,108.7,127.802,1487.23,1310.33,544.822,1743.1
149,2363.79,3126.3,1429.35,229.623,961.8,108.66,134.114,1520.95,1362.16,559.615,1798.8
150,2396.62,3166.49,1438.78,229.97,974.63,108.76,135.95,1550.25,1379.32,567.117,1816.27
151,2450.6,3246.76,1443.77,230.233,988.02,109.31,138.906,1578.93,1406.58,582.375,1845.71
152,2513.93,3335.97,1448.77,230.659,1006.11,109.91,143.281,1609.14,1440.67,593.7959999999998,1883.17
153,2467.51,3313.42,1452.23,231.024,982.4,109.73,142.326,1588.61,1412.16,576.465,1842.45
154,2481.82,3355.85,1452.94,231.33,1000.0,109.58,144.14600000000004,1612.63,1416.18,586.118,1855.72
155,2504.44,3418.96,1454.96,231.725,989.85,109.86,147.411,1619.16,1426.19,585.956,1856.89
156,2634.16,3593.12,1456.98,232.229,1033.2,109.99,154.202,1714.61,1498.11,611.07,1962.07
157,2669.92,3599.05,1459.77,232.569,1054.54,109.89,154.178,1736.99,1514.68,618.674,1991.69
158,2770.05,3683.36,1461.07,232.794,1107.49,110.89,156.997,1794.41,1569.19,641.882,2076.56
159,2823.42,3799.35,1465.14,232.832,1139.73,111.17,161.482,1823.85,1597.57,655.507,2119.05
160,2889.46,3800.78,1463.48,232.996,1138.98,111.38,161.039,1844.11,1630.74,667.685,2160.65
161,2850.66,3707.13,1458.49,233.35,1128.01,111.67,156.332,1817.4,1606.28,655.121,2109.58
162,2995.72,3902.29,1464.14,233.88,1198.98,112.29,163.816,1914.57,1685.73,689.8560000000001,2223.8
163,2908.96,3819.24,1463.5,234.336,1157.76,112.9,160.403,1848.73,1632.97,678.033,2164.91
164,3000.18,4010.25,1469.0,234.7,1194.14,113.02,168.688,1919.7,1681.55,708.248,2250.05
165,3138.09,4167.22,1474.01,234.921,1256.72,113.06,175.468,2000.38,1756.54,739.578,2345.87
166,3233.72,4241.28,1477.56,235.359,1295.39,112.82,177.953,2048.72,1805.81,760.441,2436.79
167,3315.58,4331.02,1476.07,235.759,1334.33,113.0,181.023,2089.12,1848.36,782.163,2493.8
168,3200.95,4170.61,1480.11,235.983,1304.36,113.36,173.782,1983.73,1782.59,759.865,2386.8
169,3347.38,4379.39,1483.63,236.172,1391.27,114.04,182.177,2080.07,1859.45,798.977,2502.83
170,3375.51,4385.73,1483.02,236.622,1344.23,114.63,182.987,2097.37,1872.34,790.919,2505.22
171,3400.47,4430.67,1486.4,237.07,1332.44,115.08,184.729,2117.63,1883.95,790.951,2521.8
172,3480.29,4517.84,1490.69,237.541,1385.71,115.34,188.658,2151.65,1923.57,815.6010000000001,2562.68
173,3552.18,4598.66,1490.05,237.833,1414.88,115.53,192.21,2184.11,1960.23,831.4960000000002,2598.68
174,3503.19,4525.27,1489.7,238.232,1399.72,116.03,189.879,2112.92,1930.67,818.768,2556.08
175,3643.34,4624.99,1492.83,238.405,1464.97,115.93,194.074,2188.92,2003.37,856.2819999999998,2681.38
176,3592.25,4499.46,1490.75,238.777,1456.16,116.11,187.78,2168.28,1972.29,843.8610000000001,2644.16
177,3679.99,4528.57,1494.81,239.188,1490.07,116.55,189.102,2225.59,2018.05,866.0980000000002,2722.51
178,3778.96,4619.32,1497.07,239.412,1546.48,116.38,192.266,2295.94,2067.56,893.543,2765.78
179,3769.44,4544.84,1492.53,239.572,1530.3,116.65,188.555,2300.62,2058.9,884.2339999999998,2761.51
180,3656.28,4462.49,1500.29,239.845,1521.43,116.84,185.607,2222.56,1994.99,870.694,2713.08
181,3866.42,4723.94,1499.93,240.136,1604.47,117.2,195.941,2347.18,2104.5,928.73,2864.75
182,3805.27,4649.99,1503.03,240.749,1585.98,118.1,192.904,2299.12,2067.89,918.168,2833.0
183,3841.78,4759.04,1505.63,241.346,1572.14,118.56,198.501,2287.77,2085.51,922.766,2846.99
184,3891.18,4775.44,1507.16,241.644,1623.86,119.23,198.242,2310.09,2107.39,935.755,2884.0
185,3815.85,4664.4,1504.75,242.039,1619.77,119.62,193.575,2252.43,2063.11,919.27,2835.35
186,3895.8,4748.12,1505.71,242.543,1682.65,120.16,195.256,2301.07,2103.84,950.443,2904.93
187,3660.75,4433.92,1503.83,242.788,1582.37,120.61,181.871,2165.96,1972.18,892.7239999999998,2726.61
188,3570.17,4270.38,1508.36,243.306,1551.88,120.65,175.282,2126.91,1920.03,870.64,2692.94
189,3871.33,4608.78,1509.79,243.765,1664.98,120.82,189.039,2269.46,2079.36,945.607,2924.84
190,3882.84,4585.85,1508.3,244.272,1673.49,121.24,187.478,2275.87,2080.41,948.261,2937.33
191,3821.6,4505.24,1505.27,244.59,1672.59,121.78,184.097,2257.3,2043.94,934.346,2888.74
192,3631.96,4235.72,1510.21,245.134,1610.93,122.23,172.99400000000003,2205.3,1940.24,882.184,2759.48
193,3627.06,4204.19,1511.02,245.689,1589.84,122.44,171.803,2231.46,1932.23,881.807,2774.68
194,3873.11,4489.49,1522.44,246.004,1673.72,123.17,184.536,2370.2,2059.74,941.278,2951.47
195,3888.13,4560.53,1527.72,246.487,1662.76,123.19,187.26,2364.44,2065.3,932.682,2941.78
196,3957.95,4586.14,1527.52,247.031,1703.75,123.45,187.496,2387.17,2096.96,950.794,2972.06
197,3968.21,4534.75,1537.27,247.436,1754.92,123.62,186.361,2443.45,2098.86,947.06,2987.63
198,4114.51,4726.34,1539.75,247.812,1802.07,123.72,194.392,2499.78,2173.6,991.763,3078.55
199,4120.29,4730.27,1539.67,248.4,1775.94,124.16,195.046,2499.34,2170.95,986.836,3073.03
200,4121.06,4755.39,1541.19,248.716,1784.74,124.42,196.241,2474.71,2168.27,990.446,3069.82
201,4045.89,4663.36,1541.52,249.064,1749.76,124.93,192.91,2426.86,2126.15,967.187,3007.49
202,4195.73,4730.42,1535.05,249.519,1739.56,125.3,194.376,2499.34,2198.81,988.231,3096.87
203,4278.66,4843.61,1537.03,249.996,1758.46,125.72,198.575,2526.5,2238.83,1000.47,3159.39
204,4359.81,4960.51,1541.33,250.661,1816.75,126.01,204.005,2572.96,2278.87,1034.18,3198.08
205,4532.92,5098.13,1545.8,251.088,1884.39,126.42,209.728,2685.36,2363.64,1077.13,3349.19
206,4538.21,5152.44,1547.02,250.904,1924.93,128.07,212.293,2682.72,2362.72,1089.59,3348.34
207,4584.82,5228.73,1551.03,251.125,1973.73,127.74,215.602,2729.23,2384.2,1114.51,3367.44
208,4649.34,5339.34,1554.69,251.331,2068.94,127.2,220.363,2773.2,2411.8,1143.49,3420.62
209,4678.36,5359.88,1555.36,251.69,2077.28,127.0,221.365,2779.23,2423.41,1140.48,3440.97
210,4774.56,5488.15,1560.96,252.05,2148.49,127.25,227.551,2801.09,2470.3,1170.79,3473.46
211,4789.18,5495.88,1564.17,252.61,2180.73,128.1,228.423,2792.33,2471.65,1192.26,3492.79
212,4887.97,5619.23,1563.67,252.943,2242.9,128.08,232.836,2857.78,2519.36,1207.76,3585.79
213,5002.03,5725.43,1564.63,253.484,2355.06,127.48,237.671,2916.97,2575.26,1254.55,3689.23
214,5155.44,5849.48,1561.19,253.791,2421.18,127.23,242.272,3048.09,2647.58,1292.67,3826.82
215,5212.76,5928.59,1562.51,254.398,2423.52,127.43,246.178,3089.71,2673.61,1302.73,3870.05
216,5511.21,6241.62,1559.55,255.287,2622.49,127.59,260.066,3246.75,2823.81,1395.0,4047.38
217,5308.09,5983.05,1556.55,255.751,2585.4,127.91,249.144,3117.89,2713.83,1358.42,3933.55
218,5173.19,5852.64,1557.64,256.2,2491.31,128.54,243.811,3075.28,2640.87,1321.17,3882.11
219,5193.04,5919.89,1558.26,256.45,2510.49,128.36,246.139,3046.76,2648.05,1325.78,3830.54
220,5318.1,5956.99,1564.12,256.889,2598.28,128.38,246.446,3100.48,2705.27,1383.89,3936.07
221,5350.83,5954.15,1564.24,257.305,2594.67,128.81,245.112,3109.04,2718.37,1397.22,3934.25
222,5549.96,6140.12,1567.26,257.93,2643.12,129.31,252.503,3256.14,2816.29,1438.24,4082.5
223,5730.8,6216.09,1573.45,258.141,2798.17,129.48,254.487,3348.62,2901.52,1516.87,4233.57
224,5763.42,6250.7,1573.98,258.441,2824.3,129.72,255.595,3404.04,2913.98,1525.35,4280.39
225,5369.49,5791.72,1574.51,258.939,2547.58,129.83,236.441,3187.59,2711.74,1388.94,3960.02
