,SPTR_Index#@#PX_LAST,SPX_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,JPY_CURNCY#@#PX_LAST,INJCJC_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,GT2_GOVT#@#PX_LAST,JNCPTXFF_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,IBOV_Index#@#PX_LAST,NDDUJN_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,BRL_Curncy#@#PX_LAST,TPX_Index#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,JNCPT_Index#@#PX_LAST,BCOMTR_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,BFCIUS_Index#@#PX_LAST,IBOXHY_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,GJGB10_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,W_1_Comdty#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,IBOXIG_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,CONSEXP_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,RAG_Index#@#PX_LAST,MXN_Curncy#@#PX_LAST
27,-0.0073639344262295126,1067.14,1.75,965.72,-3.7,124.22,378.0,2.5,3.197,-1.1,2008.93,12861.4,3027.76,82.21,2.7,0.17,343.486,107.355,2.513,1120.08,2.2,3664.0,-1.2,164.612,346.28,-0.5,103.421,111.81,1.3940000000000001,-1.4,47.3,282.25,0.2,4.54,15.87,118.0,1.2,81.8335,117.26,63.0,92.7,0.18,419.097,357.18199999999996,9.645
28,-0.07123275002146956,989.81,1.75,916.23,-3.6,119.47,386.0,2.3,2.815,-1.0,1886.69,11139.2,2869.98,82.03,2.7,0.68,311.712,99.272,2.8175,1024.89,2.0,3588.0,-0.9,167.805,319.75,-0.956,96.9707,106.11,1.32,-8.9,48.3,307.0,0.1,4.34,16.64,164.0,1.1,76.8091,115.285,65.5,87.9,0.13,404.11199999999997,323.996,9.9465
29,-0.07795496251618139,911.62,1.75,863.65,-1.7,119.85,390.0,2.2,2.238,-1.0,1727.5,9762.59,2670.62,82.06,2.6,0.82,294.57599999999996,91.68299999999999,3.46,965.0,2.6,3495.0,-0.9,166.896,294.62,-1.472,90.4599,107.41,1.318,-5.8,45.0,334.0,0.2,4.32,17.81,23.0,1.5,70.3508,114.929,68.3,81.0,0.13,360.548,303.81,9.8695
30,0.0065646358208495395,916.07,1.75,866.19,-1.3,118.46,394.0,2.4,2.129,-0.9,1730.45,10382.2,2642.26,82.14,2.6,1.01,295.45599999999996,93.084,3.0060000000000002,941.64,2.2,3549.0,-0.9,173.472,298.89,-1.605,91.8134,106.98,1.185,-1.4,46.8,362.25,0.3,4.32,18.1,51.0,1.8,70.5072,118.65100000000001,61.5,80.6,0.34,360.606,304.402,9.935
31,-0.10867915852396826,815.28,1.75,789.7,-0.4,121.81,409.0,2.2,1.6869999999999998,-0.9,1539.93,8622.54,2524.17,82.53,2.5,1.13,264.809,83.038,3.7395,921.05,2.3,3555.0,-0.8,180.005,266.11,-2.5469999999999997,89.7271,106.87,1.186,4.5,45.8,396.5,0.1,4.22,16.32,71.0,1.5,62.7502,121.02,62.5,79.9,0.66,313.725,273.084,10.2065
32,0.08801932865593631,885.76,1.75,848.0,1.9,122.48,409.0,2.2,1.6740000000000002,-0.8,1653.39,10167.7,2348.48,83.12,2.5,1.57,289.1,88.43299999999998,3.63,862.24,3.0,3557.0,-0.8,178.148,283.16,-2.146,89.7841,106.64,0.9940000000000001,5.2,46.4,402.25,0.1,4.2,15.94,32.0,2.0,67.35300000000001,120.1,58.3,73.1,0.23,342.717,297.225,10.2025
33,0.058858393722192925,936.31,1.25,865.83,2.5,122.55,377.0,2.0,2.06,-0.7,1742.29,10508.8,2443.45,82.79,2.4,2.31,304.803,94.51899999999999,3.653,892.71,3.0,3404.0,-0.3,178.653,302.36,-1.53,95.2015,106.38,1.002,6.6,44.8,373.0,0.2,4.15,16.22,26.0,2.2,71.0129,121.16,55.7,78.5,0.19,359.444,313.918,10.1465
34,-0.05874362820828584,879.82,1.25,828.83,4.2,118.79,409.0,1.9,1.6019999999999999,-0.7,1657.64,11268.5,2380.63,82.76,2.5,2.61,283.748,91.375,3.54,843.29,2.8,3462.0,-0.3,187.40099999999998,292.09,-1.705,96.1386,101.85,0.909,1.4,47.5,325.0,0.1,4.12,17.62,48.0,2.4,67.6052,124.99,56.9,80.8,0.21,347.25199999999984,291.83799999999997,10.37
35,-0.026197687879604747,855.7,1.25,797.75,5.8,119.87,413.0,1.9,1.693,-0.6,1607.12,10941.1,2284.14,82.95,2.5,1.34,276.863,90.97200000000001,3.4975,821.18,3.0,3368.0,-0.3,201.826,290.44,-1.692,98.3083,99.91,0.812,4.5,47.4,320.5,0.2,4.06,16.45,56.0,2.6,65.615,125.14,57.5,72.8,0.44,331.14300000000014,284.498,10.9063
36,-0.015006432491409871,841.15,1.25,783.17,7.5,118.1,436.0,1.7,1.5119999999999998,-0.7,1578.99,10280.6,2297.49,83.34,2.7,0.89,275.592,88.416,3.5685,818.73,3.8,3496.0,-0.2,208.61700000000002,281.29,-1.6230000000000002,99.5507,99.71,0.79,5.1,42.6,312.5,0.1,3.84,15.87,72.0,3.0,64.4383,128.3,65.5,69.9,0.5,320.672,282.416,11.015999999999998
