,SPTR_Index#@#PX_LAST,GT5_GOVT#@#PX_LAST,TPX_Index#@#PX_LAST,MXCPYOY_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,BCOMTR_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,W_1_Comdty#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,INJCSP_Index#@#PX_LAST,MN40MUE_Index#@#PX_LAST,GJGB10_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,MXEU_Index#@#PX_LAST,MXN_Curncy#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,VIX_INDEX#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST
91,0.037400367872470815,4.248,1616.62,3.79,163.25,4.75,348.50699999999995,211.554,939.0,159.10399999999996,0.8,60.4,425.82199999999995,16.26,147.0,2518.0,578.29,1.685,2.1,77.719,2.8,3.1,53.9,132.04,10.9355,9.25,698.19,4.75,1162.38,18.0,5.9,947.29,0.2,0.48
92,0.015907147527790544,4.17,1620.07,3.74,171.29,4.5,360.125,212.077,808.0,165.31099999999995,0.84,63.9,473.31,16.19,215.0,2587.0,622.78,1.61,2.2,76.479,3.5,3.1,53.5,135.7,10.6542,9.25,702.67,4.5,1168.91,18.53,6.4,988.83,0.2,0.33
93,-0.04180849703136147,3.387,1531.88,3.93,161.92,4.5,348.83099999999996,212.66,867.0,158.002,0.34,72.0,439.749,16.1,58.0,2639.0,598.68,1.4780000000000002,2.3,76.14699999999998,4.3,3.4,53.2,129.23,10.9202,9.5,640.16,4.5,1180.19,22.87,7.4,956.15,0.3,0.23
94,-0.00693696874703964,3.4410000000000003,1475.68,3.76,157.79,4.25,364.99,213.168,885.0,156.253,1.09,65.7,441.3,15.78,17.0,2760.0,617.15,1.51,2.4,76.695,4.1,3.4,51.1,127.43,10.8988,9.5,610.15,4.25,1182.94,22.5,7.8,986.14,0.2,0.38
95,-0.05998100796538075,2.762,1346.31,3.7,143.52,3.0,380.406,213.771,929.5,143.455,0.67,76.2,386.228,15.45,14.0,2845.0,509.7,1.44,2.5,75.178,4.3,3.4,49.6,112.62,10.8272,9.5,607.16,3.0,1204.8,26.2,7.5,871.88,0.3,0.43
96,-0.032483048111075274,2.474,1324.28,3.72,147.55,3.0,427.135,213.93900000000002,1073.0,143.861,0.42,75.7,414.736,15.2,15.0,2867.0,525.04,1.365,2.3,73.714,4.0,3.6,47.3,111.42,10.7136,9.75,582.89,3.0,1213.87,26.54,8.1,868.38,0.1,0.43
97,-0.004319469077178284,2.438,1212.96,4.25,139.34,2.25,400.046,214.42,929.0,141.75,0.34,83.1,392.789,14.82,10.0,2967.0,491.06,1.284,2.4,71.80199999999998,4.0,4.3,52.2,106.78,10.6421,9.75,607.92,2.25,1207.29,25.61,8.5,864.89,0.2,0.49
98,0.048701889466678194,3.011,1358.65,4.55,150.02,2.0,414.30199999999996,214.56,787.25,149.658,0.33,83.9,424.665,14.28,37.0,2986.0,514.81,1.585,2.3,72.509,3.9,4.8,45.4,112.91,10.485999999999999,9.75,645.48,2.0,1205.82,20.79,8.3,937.48,0.1,0.39
99,0.01295356896622568,3.423,1408.14,4.95,150.0,2.0,425.629,214.93599999999998,761.5,151.997,1.36,88.1,432.54400000000004,14.36,49.0,3055.0,571.0,1.7590000000000001,2.3,72.87899999999998,4.2,5.2,45.0,112.57,10.33,9.75,650.9,2.0,1205.79,17.83,8.9,975.26,0.2,0.48
100,-0.08430471038990306,3.3289999999999997,1320.1,5.26,136.77,2.0,464.35699999999997,215.424,843.5,139.516,1.97,91.4,389.39599999999996,14.07,45.0,3110.0,517.74,1.601,2.4,72.46300000000002,5.0,5.1,45.0,101.2,10.3098,9.75,575.67,2.0,1206.05,23.95,9.5,962.19,0.2,0.47
101,-0.008407704765514556,3.237,1303.62,5.39,132.36,2.0,409.311,215.965,783.75,135.893,1.55,90.4,374.708,12.73,25.0,3261.0,499.67,1.5390000000000001,2.5,73.227,5.6,5.1,54.7,99.16,10.0368,10.0,589.2,2.0,1206.87,22.94,9.5,874.07,0.3,0.4
102,0.014465917721990131,3.093,1254.71,5.57,125.3,2.0,379.496,216.393,779.25,132.964,-0.01,76.5,344.778,13.83,12.0,3464.0,464.06,1.415,2.5,77.381,5.4,4.8,50.2,100.67,10.287,10.0,601.39,2.0,1213.78,20.65,9.3,867.46,0.2,0.41
103,-0.08910561626205626,2.9810000000000003,1087.41,5.47,107.02,2.0,335.7480000000001,216.713,680.0,116.346,0.0,55.1,284.441,12.69,4.0,3623.0,385.38,1.472,2.5,79.44800000000002,4.9,4.3,45.4,89.49,10.9378,10.0,594.8,2.0,1167.71,39.39,9.2,732.94,0.1,0.58
104,-0.16795061887570914,2.833,867.12,5.78,85.93,1.0,264.29,216.78799999999998,536.25,93.2919,0.55,39.8,206.59599999999998,10.7,7.0,3928.0,281.5,1.476,2.2,85.633,3.7,3.9,33.0,78.0,12.8259,10.0,407.99,1.0,1151.34,59.89,9.8,627.13,0.0,0.29
105,-0.07175186110626862,1.916,834.82,6.23,82.67,1.0,245.9,216.947,542.5,87.1631,0.8,28.4,191.044,10.29,4.0,4447.0,238.04,1.399,2.0,86.51700000000002,1.1,2.9,36.8,72.31,13.4647,10.0,315.04,1.0,1165.27,55.28,8.9,574.41,0.1,0.46
106,0.010642145679149673,1.551,859.24,6.53,89.58,0.0,234.87400000000002,216.925,610.75,90.3221,0.14,17.1,205.94400000000002,10.18,14.0,4679.0,215.33,1.1740000000000002,1.8,81.308,0.1,1.7,32.5,69.43,13.6733,9.5,365.67,0.25,1186.53,40.0,7.1,582.95,0.0,0.57
107,-0.08428884086498101,1.88,794.03,6.28,83.12,0.0,222.24900000000002,217.34599999999998,568.0,82.6055,-0.31,29.0,192.644,9.6,4.0,5010.0,196.67,1.297,1.7,85.999,0.0,2.2,30.5,66.91,14.3333,9.0,304.73,0.25,1208.32,44.84,6.3,529.92,0.2,0.44
108,-0.10647796709532442,1.986,756.71,6.2,75.19,0.0,212.396,217.792,510.5,74.5167,0.42,29.9,181.77700000000002,9.04,7.0,5445.0,183.9,1.28,1.8,88.008,0.2,1.9,28.0,60.44,15.255,8.0,244.63,0.25,1198.53,46.35,5.5,477.4,0.2,0.47
109,0.08759799468389362,1.6569999999999998,773.66,6.04,80.93,0.0,220.049,218.253,532.75,80.6549,-0.45,31.6,207.9,9.57,10.0,5935.0,207.78,1.3530000000000002,1.8,85.43,-0.4,2.0,30.5,61.66,14.1722,7.0,255.63,0.25,1201.93,44.14,5.0,507.63,0.2,0.52
110,0.095709137032282,2.012,837.79,6.17,90.96,0.0,221.662,218.706,524.25,90.1755,-0.53,31.4,242.49599999999998,9.22,28.0,6300.0,258.38,1.432,1.9,84.61399999999998,-0.7,2.8,33.5,69.91,13.8408,7.0,331.91,0.25,1228.99,36.5,4.5,536.96,0.2,0.42
111,0.055931617174761694,2.342,897.91,5.98,102.04,0.0,250.488,218.90400000000002,637.25,99.1607,-0.52,45.0,283.931,10.01,19.0,6635.0,298.63,1.49,1.8,79.348,-1.3,2.8,35.3,72.72,13.1506,5.0,338.52,0.25,1253.89,28.92,3.0,560.71,0.1,0.2
112,0.0019853339304933826,2.556,929.76,5.74,103.21,0.0,245.722,219.112,511.25,98.6054,0.29,47.9,280.106,9.98,25.0,6618.0,280.15,1.359,1.7,80.133,-1.4,3.1,45.0,71.77,13.185,4.5,330.48,0.25,1267.85,26.35,1.9,574.0,0.1,0.25
113,0.07563344763632962,2.516,950.26,5.44,111.88,0.0,253.66299999999998,219.263,528.25,107.285,-0.23,52.8,311.603,11.4,74.0,6111.0,318.15,1.419,1.5,78.347,-2.1,2.9,47.1,78.37,13.1917,4.5,365.57,0.25,1284.43,25.92,0.3,611.65,0.1,0.31
114,0.03610347885952448,2.387,965.73,5.08,113.4,0.0,252.185,219.49599999999998,471.0,111.12200000000001,-0.68,62.3,310.488,14.58,54.0,5970.0,329.37,1.31,1.4,78.172,-1.5,2.8,47.5,82.11,13.3633,4.5,413.18,0.25,1297.35,26.01,-1.0,619.28,0.1,0.15
115,0.03731772142805823,2.313,909.84,4.89,117.99,0.0,256.153,219.92,457.5,116.22,0.28,63.3,338.671,9.36,137.0,5912.0,353.71,1.301,1.5,76.653,-1.3,2.2,48.6,84.28,13.5115,4.0,439.09,0.25,1306.95,25.61,-1.1,642.98,0.2,0.4
116,-0.01857622658495195,2.31,894.67,4.5,116.46,0.0,264.55400000000003,220.50099999999998,494.25,114.42399999999999,0.1,64.3,339.09,10.4,15.0,5649.0,360.68,1.415,1.7,76.3,-0.2,2.9,53.5,82.48,13.1977,4.0,416.47,0.25,1315.09,30.69,-1.9,623.95,0.3,0.32
117,0.05998224229274341,2.001,839.94,3.86,117.69,0.0,273.85900000000004,220.666,567.5,119.13,-0.1,55.4,353.655,10.85,40.0,5323.0,364.63,1.266,1.7,74.87899999999998,1.8,2.7,51.2,83.17,12.9342,3.5,447.42,0.25,1326.46,24.51,-2.3,666.46,0.1,0.14
118,0.01931568553487017,2.681,907.59,3.57,120.45,0.0,279.279,220.88099999999997,541.5,121.59700000000001,-0.16,63.8,367.62199999999996,11.1,110.0,4987.0,396.5,1.295,1.8,77.86,2.7,2.5,52.6,88.28,13.0914,3.5,478.34,0.25,1324.05,21.68,-1.4,685.78,0.1,0.47
119,-0.035972789115646164,2.325,901.12,4.46,116.83,0.0,258.953,220.63299999999998,474.0,116.34200000000001,0.27,68.0,347.119,10.7,35.0,4796.0,416.88,1.325,1.6,79.462,2.6,2.8,55.2,85.7,13.095,3.5,452.88,0.25,1336.1,24.62,-1.3,641.74,-0.1,0.75
120,0.03097549960483237,2.303,894.1,4.83,118.07,0.0,268.567,220.731,506.5,117.824,0.98,65.1,348.34,10.12,128.0,4755.0,399.49,1.305,1.3,80.362,2.1,2.7,55.7,85.37,12.772,3.5,478.25,0.25,1339.84,19.5,0.3,672.62,0.0,0.41
121,0.06034704616513431,2.545,978.81,4.97,125.11,0.0,265.231,220.783,450.5,125.404,0.95,75.2,376.463,11.57,156.0,4668.0,450.21,1.4,1.1,81.07300000000002,2.3,2.7,55.8,91.43,12.365,3.5,523.69,0.25,1343.52,17.59,0.3,722.15,0.0,0.35
122,0.015786375278856513,2.418,987.04,4.27,125.86,0.0,270.388,220.822,491.75,125.615,0.27,78.0,381.024,11.26,291.0,4695.0,461.32,1.29,0.9,81.866,2.2,2.9,54.8,90.16,12.3109,3.0,557.26,0.25,1349.31,22.05,0.9,726.25,0.0,0.11
123,-0.07985053760707661,2.094,880.46,3.92,113.48,0.0,251.669,220.96200000000002,457.75,113.706,0.47,77.0,347.51,11.84,23.0,4553.0,436.95,1.265,0.9,86.588,2.0,3.2,57.9,85.04,12.9346,3.0,526.54,0.25,1345.28,32.07,1.5,676.78,0.1,0.23
124,-0.05234864473640588,1.775,841.42,3.69,112.8,0.0,252.47,221.19400000000002,464.75,110.20299999999999,2.21,54.9,344.95599999999996,11.41,23.0,4484.0,421.19,1.091,0.9,86.01899999999998,1.1,2.8,56.8,84.4,12.9409,3.0,500.88,0.25,1352.59,34.54,1.2,639.79,0.1,0.14
125,0.07006057496662255,1.598,849.5,3.64,119.11,0.0,269.573,221.363,661.5,119.17,0.14,55.6,373.68199999999996,11.74,100.0,4467.0,449.38,1.074,0.9,81.539,1.2,2.7,58.6,88.5,12.6453,3.0,549.11,0.25,1364.91,23.5,2.2,689.03,0.1,0.21
126,-0.045140023972976014,1.3330000000000002,804.67,3.68,116.54,0.0,262.712,221.50900000000001,652.5,115.00399999999999,0.42,61.8,366.425,11.83,85.0,4509.0,444.98,0.971,0.9,83.20200000000001,1.1,2.7,61.2,87.19,13.2046,3.0,542.25,0.25,1370.17,26.05,2.6,659.29,0.1,0.1
127,0.08924139111580276,1.265,829.51,3.7,126.31,0.0,281.785,221.71099999999998,674.0,126.006,0.99,69.8,407.145,11.67,212.0,4431.0,457.3,0.94,0.8,78.72,1.1,2.2,58.0,90.01,12.5936,3.0,567.5,0.25,1377.28,23.7,1.9,727.57,0.1,0.36
128,0.03804709395217265,1.168,810.91,4.02,129.36,0.0,295.82599999999996,221.83,717.25,130.56,0.75,73.8,418.967,12.24,137.0,4328.0,470.89,0.9390000000000001,0.6,77.266,1.2,2.7,57.5,92.17,12.345,3.0,590.07,0.25,1383.05,21.2,2.0,763.37,0.1,0.19
129,0.00013120842963698642,1.4680000000000002,860.94,4.32,128.65,0.0,294.779,222.149,650.25,127.655,0.79,69.0,407.907,12.12,75.0,4118.0,477.58,1.194,0.8,81.195,1.1,3.0,60.2,90.73,12.4877,3.0,580.3,0.25,1379.56,23.54,2.5,778.03,0.1,0.24
130,0.06683183304403982,2.008,898.8,4.4,137.7,0.0,326.288,222.343,794.25,137.003,0.83,73.3,437.015,12.43,116.0,3898.0,500.31,1.128,0.8,79.028,1.5,3.0,56.7,95.38,12.3401,3.0,607.15,0.25,1379.05,17.75,2.98,810.66,0.1,0.43
131,0.023700627633862936,1.942,910.08,3.78,136.62,0.0,329.56,222.803,840.75,139.15200000000002,0.42,79.6,425.159,12.49,116.0,3887.0,498.2,1.219,1.0,77.735,1.6,3.4,61.6,96.92,12.1219,3.0,629.94,0.25,1384.16,19.53,2.72,815.25,0.2,0.46
132,0.03425891702088335,2.14,951.27,3.57,137.49,0.0,333.904,223.213,782.5,143.205,0.66,80.2,421.194,12.8,254.0,3809.0,510.86,1.264,1.1,76.889,2.1,3.4,62.3,99.17,12.1016,3.25,658.6,0.25,1386.65,18.35,2.67,848.12,0.2,0.4
